;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;demanda
1;125,5390033;458,4985512;325,0361432;1569,066975;1631,734669;905,2065943;2846,450734;1468,371459;1366,739201;649,6738859;1486,991418;1427,706554;1522,420604;521,4582654;262,15225;1350,535895;1382,888234;1247,692552;1285,763178;1750,448762;569,318718;1621,245158;746,6493401;332,7332302;2889,493859;6120,157539;5723,711108;5544,412593;6099,134547;5469,525889;4254,827088;4141,831794;3536,841879;4568,574456;4780,763456;3203,771534;4511,862836;7314,44943;5969,683662;4940,268778;4049,420836;4894,301751;4538,577294;3810,776329;4827,743332;5381,001454;5095,10203;5134,196549;4555,520753;3683,508599;3395,929856;3579,772186;4280,076113;3853,272628;5664,852832;5751,692977;4257,263826;4547,688553;6339,229822;5492,054874;3476,101502;3578,184694;2680,283195;6257,757346;5252,458423;5501,172217;5452,687292;5210,036371;5409,179291;5435,803834;23
2;4158,395873;4426,522619;4293,060211;2809,585374;2872,253068;3383,394107;2394,216188;3090,593356;3262,703028;3672,29627;2816,372098;2907,825042;2830,847869;4049,222868;4129,290966;3013,988003;3110,806835;3113,387447;3198,490877;2655,433702;3728,605073;3349,163759;3510,481289;4072,59404;2437,259313;2613,316537;2027,627891;1704,999121;2324,321395;1773,442673;2175,342503;1277,800928;2142,660147;1061,733454;1380,615512;2250,218793;1179,475031;3807,608429;2600,495596;1607,880974;1733,397156;1139,662691;340,1881979;621,4601135;1320,902331;1874,160452;1358,083297;935,8074529;357,1316565;1663,253542;1285,037554;1279,315626;1238,675646;1746,97565;2131,791948;2055,609761;913,32864;1215,300748;2932,206112;1985,213873;1970,570437;1930,999737;2228,048649;2266,963574;1054,069327;1302,78312;1442,381972;1570,309552;1770,87768;1910,498936;28
3;4529,522748;4797,649494;4664,187086;3180,71225;3243,379944;3754,520983;2493,58511;3461,720232;3633,829903;4043,423145;3187,498973;3278,951917;3201,974744;4420,349744;4500,417841;3385,114878;3481,93371;3484,514322;3569,617752;3026,560577;4099,731948;3720,290634;3881,608164;4443,720915;2371,232087;2763,917895;1648,074469;1757,206198;2376,528472;1393,88925;1950,038131;1635,171296;1917,355776;1212,668366;1531,216869;2024,914421;1371,461508;3958,209786;2751,096953;1799,867451;2090,997809;1191,869768;237,8266037;873,8240809;1471,503688;2024,761809;1410,290374;988,0145303;145,9551956;1994,75903;1656,16443;1650,442501;1596,046014;1521,671279;1752,238526;1676,056338;533,7752174;1404,647259;3082,807469;2135,81523;1745,266065;1705,695365;2591,838484;2182,120707;1106,276404;1354,990198;1494,589049;1622,51663;1823,084757;1962,706013;38
4;4950,941115;5219,067861;5085,605453;3602,130617;3664,798311;4175,93935;2874,148299;3883,138599;4055,24827;4464,841512;3608,91734;3700,370284;3623,393111;4841,768111;4921,836208;3806,533245;3903,352077;3905,932689;3991,036119;3447,978944;4521,150315;4141,709001;4303,026531;4865,139282;2751,795275;2565,184434;2028,637657;1558,242191;2177,564465;1774,452439;2330,60132;2070,346171;2297,918965;1190,008573;1332,483409;2405,47761;1625,20629;3759,476326;2552,363493;2025,815311;2525,942399;992,9057616;550,1130102;1254,38727;1272,770228;1826,028349;1211,326367;789,0505235;528,4437168;2375,322219;2077,582797;2071,860868;2031,220888;1902,234467;2132,801715;2056,619527;914,3384063;1560,666804;2884,074009;1937,08177;2125,829254;2086,258554;2972,401673;2120,206644;907,3123976;1156,026191;1295,625043;1423,552623;1624,12075;1763,742006;12
5;4508,588596;4776,715342;4643,252934;3159,778097;3222,445791;3733,58683;2431,79578;3440,786079;3612,895751;4022,488993;3166,564821;3258,017765;3181,040592;4399,415591;4479,483689;3364,180726;3460,999558;3463,58017;3548,6836;3005,626425;4078,797796;3699,356482;3860,674012;4422,786763;2309,442756;2818,600026;1586,285138;1811,888329;2431,210603;1332,09992;1888,248801;1627,993651;1855,566445;1267,350498;1585,899001;1963,125091;1426,143639;4012,891918;2805,779085;1854,549582;2083,58988;1246,5519;292,5087351;812,0347506;1526,185819;2079,443941;1464,972505;1042,696662;200,637327;1932,9697;1635,230278;1629,508349;1588,868369;1459,881948;1690,449195;1614,267008;471,9858871;1459,32939;3137,489601;2190,497362;1683,476735;1643,906035;2530,049154;2120,331376;1160,958536;1409,672329;1549,271181;1677,198761;1877,766888;2017,388145;47
6;4916,262841;5184,389588;5050,92718;3567,452343;3630,120037;4141,261076;2839,470025;3848,460325;4020,569997;4430,163238;3574,239066;3665,69201;3588,714838;4807,089837;4887,157934;3771,854971;3868,673803;3871,254415;3956,357846;3413,30067;4486,472041;4107,030728;4268,348258;4830,461008;2717,117002;2603,1706;1993,959384;1596,228357;2215,550631;1739,774165;2295,923046;2035,667897;2263,240691;1227,994739;1370,469575;2370,799336;1649,977009;3797,462492;2590,349659;2063,801477;2491,264125;1030,891928;515,4347364;1219,708996;1310,756394;1864,014515;1249,312533;827,0366895;493,765443;2340,643946;2042,904523;2037,182594;1996,542614;1867,556194;2098,123441;2021,941254;879,6601325;1598,65297;2922,060175;1975,067936;2091,15098;2051,58028;2937,723399;2158,19281;945,2985636;1194,012357;1333,611209;1461,538789;1662,106916;1801,728172;34
7;4425,038385;4693,165131;4559,702723;3076,227886;3138,89558;3650,036619;2348,245568;3357,235868;3529,34554;3938,938782;3083,01461;3174,467554;3097,490381;4315,86538;4395,933477;3280,630515;3377,449347;3380,029959;3465,133389;2922,076213;3995,247584;3615,806271;3777,123801;4339,236551;2225,892545;2899,680188;1502,734927;1892,968491;2512,290765;1248,549709;1804,69859;1544,44344;1772,016234;1348,43066;1666,979163;1879,57488;1507,223801;4093,97208;2886,859247;1935,629744;2000,039668;1327,632062;373,5888971;728,4845393;1607,265981;2160,524103;1546,052667;1123,776824;281,717489;1849,419489;1551,680066;1545,958138;1505,318158;1376,331737;1606,898984;1530,716797;388,4356758;1540,409552;3218,569763;2271,577523;1599,926524;1560,355823;2446,498943;2036,781165;1242,038698;1490,752491;1630,351343;1758,278923;1958,84705;2098,468307;43
8;4363,763357;4631,890103;4498,427695;3014,952859;3077,620553;3588,761592;2286,970541;3295,960841;3468,070512;3877,663754;3021,739582;3113,192526;3036,215353;4254,590353;4334,65845;3219,355487;3316,174319;3318,754931;3403,858361;2860,801186;3933,972557;3554,531243;3715,848773;4277,961524;2164,617518;2974,559771;1534,638619;1967,848074;2587,170348;1280,453401;1743,423562;1483,168413;1710,741207;1423,310242;1739,110186;1818,299852;1470,209566;4168,851662;2928,030392;1898,615509;1938,764641;1402,511644;448,4684797;667,2095119;1682,145564;2235,403685;1620,93225;1198,656406;356,5970716;1788,144461;1490,405039;1484,68311;1444,04313;1315,056709;1638,802676;1562,620489;420,3393678;1506,035283;3293,449345;2346,457106;1538,651496;1499,080796;2385,223915;2068,684857;1316,91828;1565,632074;1705,230926;1833,158506;2033,726633;2173,347889;42
9;4833,922958;5102,049704;4968,587296;3485,112459;3547,780153;4058,921192;2754,625786;3766,120441;3938,230113;4347,823355;3491,899182;3583,352126;3506,374954;4724,749953;4804,81805;3689,515088;3786,333919;3788,914532;3874,017962;3330,960786;4404,132157;4024,690844;4186,008374;4748,121124;2632,272763;3102,810227;1864,80359;2095,867984;2715,190258;1610,618372;2211,078807;1953,328013;2178,396452;1658,552817;1870,109202;2285,955098;1830,405979;4297,102119;3089,989286;2258,811922;2408,924241;1530,531555;695,8745666;1137,369112;1810,396021;2363,654142;1748,95216;1326,676317;604,8996666;2255,799707;1960,564639;1954,842711;1914,20273;1782,711955;1968,967647;1892,78546;750,5043389;1850,531709;3421,699802;2474,707563;2006,306741;1966,736041;2852,879161;2398,849828;1444,938191;1693,651984;1833,250836;1961,178416;2161,746543;2301,367799;44
10;4860,652504;5128,77925;4995,316842;3511,842006;3574,5097;4085,650739;2781,355333;3792,849988;3964,959659;4374,552901;3518,628729;3610,081673;3533,1045;4751,4795;4831,547597;3716,244634;3813,063466;3815,644078;3900,747508;3357,690333;4430,861704;4051,42039;4212,73792;4774,850671;2659,002309;3076,947281;1891,533137;2070,005038;2689,327312;1637,347918;2237,808354;1980,05756;2205,125999;1632,68987;1844,246256;2312,684644;1804,543033;4271,239173;3064,12634;2232,948975;2435,653788;1504,668608;670,0116202;1164,098659;1784,533074;2337,791196;1723,089214;1300,81337;579,0367202;2282,529253;1987,294186;1981,572257;1940,932277;1809,441501;1995,697194;1919,515007;777,2338855;1824,668763;3395,836856;2448,844617;2033,036288;1993,465588;2879,608707;2425,579375;1419,075244;1667,789038;1807,387889;1935,31547;2135,883597;2275,504853;33
