MANZENT;Poblacion;id
13127101001013;23;1
13127071003028;28;2
13127071002034;38;3
13127071004011;12;4
13127071002029;47;5
13127071004012;34;6
13127071002031;43;7
13127071002032;42;8
13127071002006;44;9
13127071002005;33;10
13127071003026;23;11
13127071002033;68;12
13127071002007;40;13
13127071002009;48;14
13127111004003;25;15
13127071002014;48;16
13127071002012;25;17
13127071002030;68;18
13127071002013;43;19
13127071002025;27;20
13127071002017;32;21
13127071002016;47;22
13127071002015;41;23
13127071002024;33;24
13127071002018;28;25
13127071002019;41;26
13127071002022;31;27
13127071002023;21;28
13127121003007;37;29
13127121003012;71;30
13127071002021;32;31
13127021002028;46;32
13127021002025;36;33
13127111004008;41;34
13127121003025;57;35
13127121003036;52;36
13127071002026;23;37
13127121003022;41;38
13127071002020;43;39
13127121003034;31;40
13127121003002;70;41
13127121003011;73;42
13127071004501;27;43
13127071003033;58;44
13127111002021;47;45
13127071002011;48;46
13127061001029;27;47
13127061003005;40;48
13127021002026;48;49
13127061006039;28;50
13127121003035;77;51
13127051001033;49;52
13127051003018;140;53
13127061006050;51;54
13127071003019;41;55
13127061006028;49;56
13127061006019;38;57
13127111001022;44;58
13127061006020;49;59
13127111001021;59;60
13127071003034;55;61
13127111001023;52;62
13127071003032;59;63
13127021002012;55;64
13127061005025;56;65
13127051001006;56;66
13127061007008;32;67
13127121003008;74;68
13127121003038;55;69
13127071004026;74;70
13127071002037;83;71
13127071003005;76;72
13127111001024;75;73
13127091002003;53;74
13127021002016;9;75
13127111004022;46;76
13127061007009;27;77
13127121003021;46;78
13127071003031;36;79
13127071002036;66;80
13127061006052;65;81
13127051003019;153;82
13127061007027;44;83
13127111001014;80;84
13127041003003;35;85
13127071001013;68;86
13127071003006;53;87
13127061007010;25;88
13127121003042;62;89
13127111001010;67;90
13127071004015;55;91
13127121003041;50;92
13127091003006;25;93
13127071001011;49;94
13127071001012;42;95
13127121003040;63;96
13127051002015;151;97
13127021002011;57;98
13127071004020;58;99
13127121003039;51;100
13127111001020;88;101
13127071001007;48;102
13127071004027;64;103
13127091003008;30;104
13127071004016;59;105
13127121003043;81;106
13127071001006;53;107
13127061006018;44;108
13127071004019;51;109
